#,Get,Type,Qty,Give,Qty,Give + Qty,Rarity,Contact
1,T85 Standard,Micro SMG,1,Cotton Cloth,1,Cotton Cloth x1,1,Joel
1,T85 Standard,Micro SMG,1,Safety Cloth,1,Safety Cloth x1,1,Joel
2,MAC-10 Standard,Micro SMG,1,Battery,3,Battery x3,1,Joel
2,MAC-10 Standard,Micro SMG,1,Classic Radio,2,Classic Radio x2,1,Joel
3,S12K Standard,Shotgun,1,ES Lamp,3,ES Lamp x3,1,Joel
3,S12K Standard,Shotgun,1,Military Compass,4,Military Compass x4,1,Joel
4,T951,Assault Rifle,1,Working LCD,1,Working LCD x1,2,Joel
4,T951,Assault Rifle,1,Silver Chain,2,Silver Chain x2,2,Joel
5,.45 Caliber AP Ammo,Ammo L3,30,Enamel Cup,3,Enamel Cup x3,3,Joel
5,.45 Caliber AP Ammo,Ammo L3,30,Shaver,3,Shaver x3,3,Joel
6,5.8x42mm DBP87 Ammo,Ammo L3,30,Light Bulb,2,Light Bulb x2,3,Joel
6,5.8x42mm DBP87 Ammo,Ammo L3,30,Disinfectant,2,Disinfectant x2,3,Joel
7,Simple Red Dot Sight,Attachment,1,Playing Card,2,Playing Card x2,1,Joel
7,Simple Red Dot Sight,Attachment,1,Kamona Bird Plush,2,Kamona Bird Plush x2,2,Joel
8,MP-133 710mm Barrel,Attachment,1,Soap,2,Soap x2,1,Joel
8,MP-133 710mm Barrel,Attachment,1,Enamel Cup,2,Enamel Cup x2,1,Joel
9,926 Rapid First Aid Kit,Medkit,1,Soap,2,Soap x2,1,Evita
9,926 Rapid First Aid Kit,Medkit,1,NaCL,2,NaCL x2,1,Evita
10,E3 Military Medkit,Medkit,1,Medical Sponge,2,Medical Sponge x2,1,Evita
10,E3 Military Medkit,Medkit,1,H202,1,H202 x1,1,Evita
11,100D Battlefield Medkit,Medkit,1,Toothpaste,5,Toothpaste x5,1,Evita
11,100D Battlefield Medkit,Medkit,1,Syringe,1,Syringe x1,1,Evita
12,Energy Drink,Medicine,3,Toothpaste,2,Toothpaste x2,1,Evita
12,Energy Drink,Medicine,3,NaCL,1,NaCL x1,1,Evita
13,Liquid Painkiller,Medicine,3,Toothpaste,2,Toothpaste x2,1,Evita
13,Liquid Painkiller,Medicine,3,Medical Sponge,1,Medical Sponge x1,1,Evita
14,Fast-acting Painkiller,Medicine,1,Urea,1,Urea x1,1,Evita
14,Fast-acting Painkiller,Medicine,1,BP Machine,1,BP Machine x1,1,Evita
15,AP Painkiller,Medicine,1,Medical Sponge,5,Medical Sponge x5,1,Evita
15,AP Painkiller,Medicine,1,UV Lamp,1,UV Lamp x1,1,Evita
16,Standard Military Surgical Kit,Treatment,1,Syringe,2,Syringe x2,1,Evita
16,Standard Military Surgical Kit,Treatment,1,Medical Scissors,1,Medical Scissors x1,1,Evita
17,Endurance Injection,Stimulants,1,Soap,2,Soap x2,1,Evita
17,Endurance Injection,Stimulants,1,H202,1,H202 x1,1,Evita
18,Str. Injection,Stimulants,1,Syringe,1,Syringe x1,1,Evita
18,Str. Injection,Stimulants,1,Toothpaste,1,Toothpaste x1,1,Evita
19,Regen Injection,Stimulants,1,Bleach,2,Bleach x2,1,Evita
19,Regen Injection,Stimulants,1,Glucose Injection,1,Glucose Injection x1,1,Evita
20,House Key,The Farm Keys,1,Lighter,4,Lighter x4,1,Evita
20,House Key,The Farm Keys,1,Metal Lighter,4,Metal Lighter x4,1,Evita
20,House Key,The Farm Keys,1,Awl,3,Awl x3,1,Evita
21,Blue Gunpowder,Flammables,1,Soap,2,Soap x2,1,Evita
21,Blue Gunpowder,Flammables,1,Toothpaste,1,Toothpaste x1,1,Evita
21,Blue Gunpowder,Flammables,1,Clog Remover,1,Clog Remover x1,1,Evita
22,Green Gunpowder,Flammables,1,Blue Gunpowder,2,Blue Gunpowder x2,1,Evita
23,Glucose Injection,Medical Items,1,Standard First Aid Kit,2,Standard First Aid Kit x2,1,Evita
23,Glucose Injection,Medical Items,1,NaCL,1,NaCL x1,1,Evita
23,Glucose Injection,Medical Items,1,H202,1,H202 x1,1,Evita
24,Medical Item Case,Medical Items,1,Medical Sponge,2,Medical Sponge x2,1,Evita
24,Medical Item Case,Medical Items,1,Medical Scissors,1,Medical Scissors x1,1,Evita
